"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","outcome","mg_strat","egfr_strat","db"
0.398,0.2301,0.6883,0.000979,0.0811,0.1815,259,"aki_7d","Mg<1.6","eGFR>=90","EICU"
0.4034,0.2174,0.7485,0.003994,0.0939,0.2044,181,"aki_7d","Mg<1.6","eGFR_60-89","EICU"
2.4665,0.9835,6.186,0.054299,0.2329,0.1096,73,"aki_7d","Mg<1.6","eGFR_45-59","EICU"
1.1517,0.6294,2.1074,0.646839,0.209,0.1866,134,"aki_7d","Mg<1.6","eGFR<45","EICU"
0.6246,0.4531,0.8611,0.004063,0.1038,0.1564,684,"aki_7d","Mg_1.6-2.0","eGFR>=90","EICU"
0.6588,0.4554,0.9532,0.026799,0.1096,0.1574,502,"aki_7d","Mg_1.6-2.0","eGFR_60-89","EICU"
1.8922,1.0746,3.332,0.027152,0.2203,0.1299,177,"aki_7d","Mg_1.6-2.0","eGFR_45-59","EICU"
2.0429,1.1918,3.5015,0.009366,0.2009,0.1096,219,"aki_7d","Mg_1.6-2.0","eGFR<45","EICU"
0.6139,0.4111,0.9167,0.017076,0.0991,0.152,454,"aki_7d","Mg>=2.0","eGFR>=90","EICU"
0.8001,0.5819,1.1002,0.170001,0.1579,0.1898,532,"aki_7d","Mg>=2.0","eGFR_60-89","EICU"
1.8243,1.0146,3.2803,0.044602,0.1913,0.1148,183,"aki_7d","Mg>=2.0","eGFR_45-59","EICU"
1.5546,1.0365,2.3317,0.032906,0.2988,0.2151,251,"aki_7d","Mg>=2.0","eGFR<45","EICU"
0.5129,0.2613,1.0069,0.052383,0.0524,0.0974,267,"mortality","Mg<1.6","eGFR>=90","EICU"
0.8279,0.4116,1.6652,0.59634,0.0825,0.0979,194,"mortality","Mg<1.6","eGFR_60-89","EICU"
3.0417,0.9165,10.0951,0.069147,0.1429,0.0519,77,"mortality","Mg<1.6","eGFR_45-59","EICU"
1.1361,0.5623,2.2955,0.72211,0.1357,0.1214,140,"mortality","Mg<1.6","eGFR<45","EICU"
0.3855,0.2431,0.6112,5.1e-05,0.0384,0.0939,703,"mortality","Mg_1.6-2.0","eGFR>=90","EICU"
1,0.5982,1.6716,1,0.0593,0.0593,523,"mortality","Mg_1.6-2.0","eGFR_60-89","EICU"
1.1312,0.567,2.2568,0.726472,0.1033,0.0924,184,"mortality","Mg_1.6-2.0","eGFR_45-59","EICU"
1.2717,0.7589,2.1311,0.361531,0.1689,0.1378,225,"mortality","Mg_1.6-2.0","eGFR<45","EICU"
0.1605,0.0808,0.3189,0,0.0216,0.1207,464,"mortality","Mg>=2.0","eGFR>=90","EICU"
0.5479,0.3387,0.8864,0.014238,0.0519,0.0909,539,"mortality","Mg>=2.0","eGFR_60-89","EICU"
2.2505,1.0925,4.6359,0.027808,0.1337,0.0642,187,"mortality","Mg>=2.0","eGFR_45-59","EICU"
1.9081,1.1455,3.1784,0.013069,0.1843,0.1059,255,"mortality","Mg>=2.0","eGFR<45","EICU"
