"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","events_trt","events_ctl","subgroup","outcome","db","sig"
0.3442,0.2861,0.414,0,0.0598,0.1561,2858,171,446,"Male","encephalopathy_icd","EICU",TRUE
0.8727,0.311,2.4494,0.795978,0.127,0.1429,63,8,9,"HF + CABG","aki_48h","EICU",FALSE
0.8833,0.3299,2.3652,0.805008,0.1429,0.1587,63,9,10,"HF + CABG","aki_7d","EICU",FALSE
0.3226,0.032,3.2475,0.336916,0.0159,0.0476,63,1,3,"HF + CABG","aki_stage2","EICU",FALSE
2.0328,0.1761,23.4596,0.569707,0.0317,0.0159,63,2,1,"HF + CABG","aki_stage3","EICU",FALSE
0.4097,0.1019,1.6475,0.208837,0.0319,0.0745,94,3,7,"HF + CABG","hosp_mortality","EICU",FALSE
0.4719,0.154,1.4465,0.188839,0.0532,0.1064,94,5,10,"HF + CABG","poaf","EICU",FALSE
0.35,0.1188,1.031,0.056825,0.0532,0.1383,94,5,13,"HF + CABG","encephalopathy_delirium","EICU",FALSE
NA,NA,NA,NA,NA,NA,94,0,0,"HF + CABG","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,94,0,0,"HF + CABG","reintubation","EICU",FALSE
1,0.2778,3.5995,1,0.0532,0.0532,94,5,5,"HF + CABG","vent_arrhythmia","EICU",FALSE
0.4719,0.154,1.4465,0.188839,0.0532,0.1064,94,5,10,"HF + CABG","poaf_icd","EICU",FALSE
0.35,0.1188,1.031,0.056825,0.0532,0.1383,94,5,13,"HF + CABG","encephalopathy_icd","EICU",FALSE
