"or","or_lo","or_hi","p","rate_trt","rate_ctl","n","events_trt","events_ctl","subgroup","outcome","db","sig"
NA,NA,NA,NA,NA,NA,997,0,0,"CABG","reintubation","EICU",FALSE
0.3393,0.1996,0.5768,6.5e-05,0.0191,0.0542,997,19,54,"CABG","vent_arrhythmia","EICU",TRUE
0.3327,0.196,0.565,4.6e-05,0.0191,0.0552,997,19,55,"CABG","poaf_icd","EICU",TRUE
0.1524,0.0986,0.2353,0,0.0251,0.1444,997,25,144,"CABG","encephalopathy_icd","EICU",TRUE
0.8967,0.7713,1.0424,0.155784,0.116,0.1276,3173,368,405,"Non-CABG","aki_48h","EICU",FALSE
0.9011,0.7862,1.0329,0.134919,0.1472,0.1607,3173,467,510,"Non-CABG","aki_7d","EICU",FALSE
0.8592,0.6609,1.117,0.25697,0.034,0.0394,3173,108,125,"Non-CABG","aki_stage2","EICU",FALSE
1.1921,0.8732,1.6274,0.26867,0.028,0.0236,3173,89,75,"Non-CABG","aki_stage3","EICU",FALSE
1.0262,0.8766,1.2012,0.747982,0.0896,0.0875,3838,344,336,"Non-CABG","hosp_mortality","EICU",FALSE
0.6212,0.5049,0.7642,7e-06,0.0401,0.0631,3838,154,242,"Non-CABG","poaf","EICU",TRUE
0.4014,0.3456,0.4662,0,0.0719,0.1618,3838,276,621,"Non-CABG","encephalopathy_delirium","EICU",TRUE
NA,NA,NA,NA,NA,NA,3838,0,0,"Non-CABG","transfusion","EICU",FALSE
NA,NA,NA,NA,NA,NA,3838,0,0,"Non-CABG","reintubation","EICU",FALSE
1.155,0.964,1.3837,0.118146,0.0703,0.0615,3838,270,236,"Non-CABG","vent_arrhythmia","EICU",FALSE
0.6212,0.5049,0.7642,7e-06,0.0401,0.0631,3838,154,242,"Non-CABG","poaf_icd","EICU",TRUE
0.4014,0.3456,0.4662,0,0.0719,0.1618,3838,276,621,"Non-CABG","encephalopathy_icd","EICU",TRUE
1.1437,0.9057,1.4443,0.259344,0.158,0.1409,1114,176,157,"Diabetes","aki_48h","EICU",FALSE
1.1658,0.938,1.449,0.166761,0.1894,0.167,1114,211,186,"Diabetes","aki_7d","EICU",FALSE
1.1994,0.7888,1.8239,0.395095,0.0449,0.0377,1114,50,42,"Diabetes","aki_stage2","EICU",FALSE
1.5773,0.9653,2.5773,0.068882,0.0377,0.0242,1114,42,27,"Diabetes","aki_stage3","EICU",FALSE
0.8717,0.6683,1.1369,0.310888,0.0797,0.0903,1406,112,127,"Diabetes","hosp_mortality","EICU",FALSE
