"outcome","n_trt","n_ctl","rate_trt","rate_ctl","or","or_lo","or_hi","p"
"hosp_mortality",2927,2927,0.027,0.0311,1.532,1.013,2.318,0.0435
"poaf",2927,2927,0.2743,0.2053,1.305,1.132,1.504,2e-04
"encephalopathy",2927,2927,0.0622,0.1247,0.823,0.643,1.054,0.1222
"vent_arrhythmia",2927,2927,0.0639,0.0574,1.211,0.944,1.552,0.1316
