"db","strat_var","stratum","target_h","did","se","p","ci_lo","ci_hi","n"
"EICU","Mg","Overall",30,0.00887,0.0114,0.43667,-0.01348,0.03121,3155
"EICU","Mg","Overall",36,0.00645,0.01164,0.57959,-0.01637,0.02927,3209
"EICU","Mg","Overall",42,0.00134,0.01178,0.90965,-0.02174,0.02442,3270
"EICU","Mg","Overall",48,0.00855,0.01227,0.4857,-0.01549,0.0326,3341
"EICU","Mg","Overall",168,-0.00046,0.01513,0.97574,-0.03012,0.0292,3434
"EICU","Mg","Mg<1.6",6,0.01742,0.05578,0.7559,-0.09191,0.12675,31
"EICU","Mg","Mg<1.6",12,-0.02387,0.02979,0.42388,-0.08226,0.03453,119
"EICU","Mg","Mg<1.6",18,0.00691,0.06104,0.90989,-0.11273,0.12656,217
"EICU","Mg","Mg<1.6",24,-0.04753,0.04393,0.27957,-0.13363,0.03857,441
"EICU","Mg","Mg<1.6",30,-0.05107,0.04059,0.2087,-0.13063,0.0285,497
"EICU","Mg","Mg<1.6",36,-0.06089,0.04119,0.13969,-0.14163,0.01985,506
"EICU","Mg","Mg<1.6",42,-0.06124,0.04114,0.13692,-0.14188,0.0194,516
"EICU","Mg","Mg<1.6",48,-0.06004,0.04079,0.14138,-0.13999,0.01992,530
"EICU","Mg","Mg<1.6",168,-0.04366,0.04896,0.37268,-0.13962,0.05229,549
"EICU","Mg","Mg_1.6-1.8",6,-0.00053,0.0596,0.99298,-0.11734,0.11628,38
"EICU","Mg","Mg_1.6-1.8",12,-0.03234,0.03252,0.32093,-0.09607,0.03139,124
"EICU","Mg","Mg_1.6-1.8",18,-0.03284,0.02413,0.17422,-0.08013,0.01446,229
"EICU","Mg","Mg_1.6-1.8",24,-0.04435,0.01635,0.0068,-0.0764,-0.0123,478
"EICU","Mg","Mg_1.6-1.8",30,-0.01244,0.02962,0.67468,-0.0705,0.04563,558
"EICU","Mg","Mg_1.6-1.8",36,-0.01115,0.02933,0.70388,-0.06864,0.04634,573
"EICU","Mg","Mg_1.6-1.8",42,-0.02331,0.02964,0.43183,-0.08141,0.03479,586
"EICU","Mg","Mg_1.6-1.8",48,-0.0195,0.02946,0.50817,-0.07723,0.03824,597
