"db","analysis","n","or","lo","hi","p"
"eICU_bmi_original","ow_aki1",8109,0.8545,0.6727,1.0853,0.19742
"eICU_bmi_original","iptw_aki1",8109,0.7648,0.6068,0.964,0.02318
"eICU_bmi_original","ac_aki1",1986,0.748,0.5806,0.9637,0.02469
"eICU_bmi_capped","ow_aki1",8109,0.8542,0.6726,1.085,0.19649
"eICU_bmi_capped","iptw_aki1",8109,0.7645,0.6065,0.9637,0.02302
"eICU_bmi_capped","ac_aki1",1986,0.7489,0.5813,0.9649,0.0253
"eICU_no_bmi","ow_aki1",8109,0.8547,0.6729,1.0856,0.19812
"eICU_no_bmi","iptw_aki1",8109,0.7648,0.6067,0.964,0.02321
"eICU_no_bmi","ac_aki1",1986,0.7475,0.5802,0.963,0.02436
